Code;Stations_x;Precipitation;long;lat
200001S;Ouagadougou aero;782,7;-2,1833329999999997;12,35
200002P;Ouarkoye;839,2;-3,6667;12,083300000000001
200021P;Baraboule;501,1;-1,85;14,216700000000001
200023P;Aribinda;493,1;-0,8667;14,2333
200024P;Gorgadji;538,4;-0,5167;14,0333
200025P;Gorom-Gorom;489,1;-0,2333;14,450000000000001
200026S;Dori;507,0;-0,0333;14,0333
200029A;Di-Sourou;714,5;-3,4167;13,1667
200030P;Kassoum;763,5;-3,3000000000000003;13,083300000000001
200031P;Toeni;618,8;-3,1833;13,433300000000001
200032C;Tougan;739,3;-3,0667;13,083300000000001
200033P;Kiembara;694,0;-2,7167000000000003;13,25
200034P;Thiou-Ouahigouya;596,7;-2,6667;13,8167
200035S;Ouahigouya;734,9;-2,4333;13,583300000000001
200036P;Gourcy;727,0;-2,35;13,200000000000001
200037P;Titao;547,9;-2,0667;13,7667
200038P;Seguenega;670,2;-1,9667000000000001;13,433300000000001
200039P;Pobe Mengao;458,1;-1,7667000000000002;13,9
200040P;Tema (Bokin);643,1;-1,7667000000000002;13,05
200042P;Bourzanga;553,8;-1,55;13,683300000000001
200045P;Barsalogho;615,6;-1,0667;13,4167
200046P;Bouroum;580,5;-0,65;13,6
200047P;Tougouri;606,0;-0,5;13,3167
200048P;Dakiri;557,3;-0,2333;13,2833
200050P;Sebba;595,3;0,5167;13,433300000000001
200051P;Tansila;859,1;-4,3833;12,4167
200052P;Solenzo;849,5;-4,0833;12,183300000000001
200053A;Nouna;737,6;-3,8667000000000002;12,7333
200054S;Dedougou;842,3;-3,4833000000000003;12,466700000000001
200055P;Sourou-Gassan;766,8;-3,2167000000000003;12,8167
200056P;Safane;824,9;-3,2167000000000003;12,1333
200057P;Toma;738,2;-2,9;12,7667
200058P;Tiogo;809,0;-2,6833;12,183300000000001
200059P;Didyr;747,0;-2,6167000000000002;12,5667
200060P;Reo Agri;793,7;-2,3667000000000002;12,3167
200064P;Nanoro;683,5;-2,1833;12,683300000000001
200065A;Saria;829,6;-2,15;12,2667
200066P;Kindi;771,3;-2,0333;12,433300000000001
200067P;Bousse;724,8;-1,8833000000000002;12,6667
200068P;Kokologho;844,9;-1,8833000000000002;12,183300000000001
200069P;Tanghin Dassouri;772,5;-1,7167000000000001;12,2667
200072A;Kamboince;770,3;-1,55;12,466700000000001
200076P;Mane;699,8;-1,3333000000000002;12,9833
200077P;Kombissiri;802,7;-1,3333000000000002;12,0667
200078P;Guilongou;732,9;-1,3;12,6167
200079P;Korsimoro;678,0;-1,0667;12,8167
200081P;Zorgho;778,8;-0,6167;12,25
200082A;Boulsa;675,6;-0,5667;12,65
200083P;Koupela;795,2;-0,35000000000000003;12,183300000000001
200085S;Bogande;645,5;0,08333299999999999;12,9833
200086P;Piela;648,9;-0,1333;12,700000000000001
200088P;Bilanga;741,5;-0,0167;12,55
200089S;Fada Ngourma;851,1;0,35000000000000003;12,0667
200090P;Yamba;749,2;0,33330000000000004;12,3
200091P;Gayeri;706,9;0,4833;12,65
200092P;Matiakoali;760,6;1,0333;12,3667
200094P;Samorogouan;1030,0;-4,9333;11,4
200099S;Bobo-Dioulasso;1053,9;-4,3;11,1667
200100P;Bondoukuy;861,9;-3,7667;11,85
200101P;Koumbia;941,5;-3,7;11,2333
200102P;Bereba;853,0;-3,6833;11,6167
200103P;Hounde;861,0;-3,5167;11,4833
200104P;Wona;777,3;-3,4333;11,966700000000001
200106P;Dano;927,0;-3,0667;11,15
200107S;Boromo;922,2;-2,9167;11,7333
200108P;Boura;914,4;-2,5;11,05
200109P;Thiou-Koudougou;816,0;-2,2;11,950000000000001
200110P;Gao;851,3;-2,1833;11,65
200112P;Sapouy;900,3;-1,7667000000000002;11,55
200113P;Betare;1124,7;-1,3667;11,433300000000001
200114S;Po;1036,7;-1,1500000000000001;11,1667
200116P;Tiebele;992,5;-0,9667;11,1
200120P;Garango;831,3;-0,5667;11,8
200123P;Ouargaye;866,3;0,0167;11,5333
200124P;Komin-Yanga;890,6;0,1333;11,7333
200125A;Pama;925,9;0,7000000000000001;11,25
200126P;Namounou;892,0;1,7;11,8667
200127P;Mahadaga;907,0;1,75;11,700000000000001
200128P;Baguera;1307,0;-5,4167000000000005;10,5333
200129A;Loumana;1249,0;-5,3500000000000005;10,583300000000001
200130P;Sindou;1093,2;-5,1667000000000005;10,6667
200131P;Soubakaniedougou;1057,9;-5,0167;10,4833
200132P;Orodara;1173,1;-4,9167000000000005;10,9833
200133A;Niangoloko;1138,8;-4,9167000000000005;10,2667
200135P;Banfora Agri;1041,4;-4,7667;10,6167
200136P;Sideradougou;996,4;-4,25;10,683300000000001
200137P;Ouo;1089,8;-3,8333000000000004;10,4
200138P;Kampti;999,5;-3,4667000000000003;10,1333
200140S;Gaoua;1097,6;-3,1833;10,333300000000001
200144A;Batie;1015,0;-2,9167;9,8833
200145P;Leri;778,6;-3,3833;12,7667
200146P;Botou;756,7;2,05;12,6667
200147A;Ndorola;984,5;-4,8167;11,7667
200148P;Kouka;941,2;-4,3333;11,9
200149A;Vallee Du Kou;956,8;-4,3833;11,3667
200151P;Fara;906,2;-2,7667;11,5167
200153A;Beregadougou;1034,7;-4,7333;10,75
200154P;Ouangolodougou;1062,0;-4,8;10,083300000000001
200155P;Bitou;935,8;-0,5333;11,5
200158P;Boussouma;690,3;-1,0;12,7667
200159P;Nobere;914,1;-1,2;11,55
